"Feature","node/1848630911","charging_station","6","Clever","Point","xAxis","yAxis"
"Feature","node/1848630911","charging_station","6","Clever","Point","10,3771983","55,3947688"
"Feature","node/2302260661","charging_station","","Clever","Point","8,7703612","55,3331057"
"Feature","node/2341632603","charging_station","","","Point","9,4734036","55,48983"
"Feature","node/2530819249","charging_station","","","Point","12,4312844","55,733857"
"Feature","node/2783998965","charging_station","2","Clever","Point","10,8402058","55,2972977"
"Feature","node/2794799502","charging_station","","","Point","8,4562048","55,4690173"
"Feature","node/2894270225","charging_station","","Aalborg Kommune","Point","9,9357081","57,0462069"
"Feature","node/2923093163","charging_station","8","Tesla Motors Inc.","Point","10,0556465","56,4337219"
"Feature","node/2940229266","charging_station","12","Tesla Motors Inc.","Point","9,7650187","55,5113021"
"Feature","node/2991256548","charging_station","12","Tesla Motors Inc.","Point","10,0423484","57,4557869"
"Feature","node/3010069461","charging_station","2","E-On","Point","12,6134663","55,6527958"
"Feature","node/3010069462","charging_station","2","E-On","Point","12,6135488","55,6528103"
"Feature","node/3010069463","charging_station","2","E-On","Point","12,5400249","55,6543586"
"Feature","node/3010069464","charging_station","2","E-On","Point","12,539996","55,6543965"
"Feature","node/3010069465","charging_station","2","E-On","Point","12,6054571","55,6606275"
"Feature","node/3010069466","charging_station","2","E-On","Point","12,6054999","55,6606477"
"Feature","node/3010069467","charging_station","2","E-On","Point","12,5176353","55,6627686"
"Feature","node/3010069468","charging_station","2","E-On","Point","12,5176781","55,6628196"
"Feature","node/3010069469","charging_station","2","E-On","Point","12,5177224","55,662875"
"Feature","node/3010069470","charging_station","2","E-On","Point","12,5994515","55,6649434"
"Feature","node/3010069471","charging_station","2","E-On","Point","12,5995153","55,6649631"
"Feature","node/3010069472","charging_station","2","E-On","Point","12,5755286","55,6655165"
"Feature","node/3010069473","charging_station","2","E-On","Point","12,5754478","55,6655502"
"Feature","node/3010069474","charging_station","2","E-On","Point","12,5095864","55,6662619"
"Feature","node/3010069475","charging_station","2","E-On","Point","12,509584","55,6663203"
"Feature","node/3010069476","charging_station","2","E-On","Point","12,5541697","55,6687116"
"Feature","node/3010069477","charging_station","2","E-On","Point","12,5434632","55,6687338"
"Feature","node/3010069478","charging_station","2","E-On","Point","12,5434868","55,6687385"
"Feature","node/3010069479","charging_station","2","E-On","Point","12,5541466","55,6687689"
"Feature","node/3010069480","charging_station","2","E-On","Point","12,5799674","55,6692882"
"Feature","node/3010069481","charging_station","2","E-On","Point","12,5799022","55,6693069"
"Feature","node/3010069482","charging_station","2","E-On","Point","12,58723","55,6701557"
"Feature","node/3010069483","charging_station","2","E-On","Point","12,5871829","55,6701612"
"Feature","node/3010069484","charging_station","2","E-On","Point","12,5691496","55,6708291"
"Feature","node/3010069485","charging_station","2","E-On","Point","12,5691975","55,6708609"
"Feature","node/3010069486","charging_station","2","CLEVER","Point","12,5616084","55,671404"
"Feature","node/3010069487","charging_station","2","E-On","Point","12,5929594","55,6731822"
"Feature","node/3010069488","charging_station","2","E-On","Point","12,5928986","55,6732144"
"Feature","node/3010069489","charging_station","2","E-On","Point","12,583325","55,6753705"
"Feature","node/3010069490","charging_station","2","E-On","Point","12,5832006","55,675399"
"Feature","node/3010069491","charging_station","2","E-On","Point","12,5590364","55,6760708"
"Feature","node/3010069492","charging_station","2","E-On","Point","12,5590482","55,6761111"
"Feature","node/3010069493","charging_station","2","E-On","Point","12,5695499","55,6761443"
"Feature","node/3010069494","charging_station","2","E-On","Point","12,5694308","55,6762016"
"Feature","node/3010069495","charging_station","2","CLEVER","Point","12,561984","55,6763767"
"Feature","node/3010069496","charging_station","1","CLEVER","Point","12,5620002","55,6764427"
"Feature","node/3010069497","charging_station","2","CLEVER","Point","12,5620177","55,6765098"
"Feature","node/3010069498","charging_station","2","E-On","Point","12,5655965","55,6782887"
"Feature","node/3010069499","charging_station","2","E-On","Point","12,5655419","55,6783205"
"Feature","node/3010069500","charging_station","1","E-On","Point","12,5903794","55,6788941"
"Feature","node/3010069501","charging_station","1","E-On","Point","12,5902851","55,6789192"
"Feature","node/3010069502","charging_station","1","E-On","Point","12,5901895","55,6789463"
"Feature","node/3010069503","charging_station","2","Lets Go/Delebilfonden","Point","12,5730545","55,6790635"
"Feature","node/3010069504","charging_station","2","E-On","Point","12,5731212","55,6790783"
"Feature","node/3010069505","charging_station","2","E-On","Point","12,573193","55,6790946"
"Feature","node/3010069506","charging_station","2","MoveAbout","Point","12,5732592","55,6791111"
"Feature","node/3010069507","charging_station","2","MoveAbout","Point","12,5733245","55,6791289"
"Feature","node/3010069508","charging_station","2","E-On","Point","12,5680812","55,6807185"
"Feature","node/3010069509","charging_station","2","E-On","Point","12,5681209","55,6807502"
"Feature","node/3010069510","charging_station","2","E-On","Point","12,5681715","55,680786"
"Feature","node/3010069511","charging_station","2","Københavns Kommune","Point","12,5682445","55,6806851"
"Feature","node/3010069512","charging_station","2","E-On","Point","12,5804004","55,6807362"
"Feature","node/3010069513","charging_station","1","E-On","Point","12,5913211","55,6818668"
"Feature","node/3010069514","charging_station","1","E-On","Point","12,5913516","55,6819038"
"Feature","node/3010069515","charging_station","2","E-On","Point","12,5560623","55,6822221"
"Feature","node/3010069516","charging_station","2","E-On","Point","12,5559654","55,6822426"
"Feature","node/3010069517","charging_station","2","E-On","Point","12,5819899","55,6824038"
"Feature","node/3010069518","charging_station","2","E-On","Point","12,5818876","55,6824316"
"Feature","node/3010069519","charging_station","2","E-On","Point","12,4883404","55,6826394"
"Feature","node/3010069520","charging_station","2","E-On","Point","12,4884385","55,6826405"
"Feature","node/3010069521","charging_station","2","Københavns Kommune","Point","12,58477","55,6833331"
"Feature","node/3010069522","charging_station","2","Københavns Kommune","Point","12,5847785","55,6833432"
"Feature","node/3010069523","charging_station","2","Københavns Kommune","Point","12,5847479","55,6833445"
"Feature","node/3010069524","charging_station","2","Københavns Kommune","Point","12,5849704","55,683562"
"Feature","node/3010069525","charging_station","2","E-On","Point","12,5556221","55,6842022"
"Feature","node/3010069526","charging_station","2","E-On","Point","12,5556468","55,6842124"
"Feature","node/3010069527","charging_station","2","E-On","Point","12,5556694","55,6842239"
"Feature","node/3010069528","charging_station","2","E-On","Point","12,5556965","55,6842347"
"Feature","node/3010069529","charging_station","2","E-On","Point","12,5557236","55,6842461"
"Feature","node/3010069530","charging_station","2","E-On","Point","12,5557532","55,6842587"
"Feature","node/3010069531","charging_station","2","Delebilfonden","Point","12,5557991","55,6842812"
"Feature","node/3010069532","charging_station","2","E-On","Point","12,5716616","55,6847791"
"Feature","node/3010069933","charging_station","2","E-On","Point","12,5717193","55,6848264"
